page,section,component,current_copy,purpose,classification,issue,recommended_action,proposed_copy,seo_sensitive,factual_dependency,notes
sitewide/shared,name,src/data/serviceCatalog.ts:209,Botox estético y para bruxismo,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Botox estético y para bruxismo,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:211,Valoración para orientación estética o funcional según necesidad.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Consulta por motivos estéticos o relacionados con bruxismo.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:215,Hilos tensores,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Hilos tensores,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:217,Orientación profesional antes de considerar el procedimiento.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Consulta para revisar indicación y alternativas.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:221,Bichectomía,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Bichectomía,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:223,"Consulta para revisar indicación, expectativas y alternativas.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Consulta para revisar indicación, expectativas y alternativas.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:227,Lipopapada,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Lipopapada,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:229,Valoración estética previa antes de definir cualquier manejo.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Consulta estética para revisar indicación y opciones.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:233,Dermapen,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Dermapen,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:235,Orientación para cuidado estético según valoración profesional.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Consulta sobre este procedimiento para el cuidado de la piel.,no,no,
sitewide/shared,title,src/data/serviceCatalog.ts:241,Urgencias odontológicas,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Urgencias odontológicas,no,no,
sitewide/shared,description,src/data/serviceCatalog.ts:242,Orientación por WhatsApp para revisar disponibilidad según el motivo de urgencia.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Consulta disponibilidad por WhatsApp si tienes dolor, inflamación o una fractura.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:245,Dolor dental,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Dolor dental,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:247,"Consulta disponibilidad si el dolor es fuerte, persistente o aumenta.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Consulta disponibilidad si el dolor es fuerte, persistente o aumenta.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:251,Inflamación,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Inflamación,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:253,"Orientación si hay inflamación, absceso o molestia progresiva.",Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,"Consulta si hay inflamación, absceso o una molestia que aumenta.",no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:257,Fracturas,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Fracturas,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:259,Revisión de disponibilidad ante fractura dental o trauma.,Information / orientation,REWRITE,"Stiff, repetitive or less natural than needed",REWRITE,Consulta disponibilidad ante una fractura dental o un golpe.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:263,Molestias dentales,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Molestias dentales,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:265,Orientación inicial para definir el siguiente paso responsable.,Information / orientation,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Describe la molestia para consultar disponibilidad.,no,no,
sitewide/shared,name,src/data/serviceCatalog.ts:269,Urgencias odontológicas,Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,Urgencias odontológicas,no,no,
sitewide/shared,summary,src/data/serviceCatalog.ts:271,"Consulta disponibilidad para dolor, inflamación, fractura o emergencia dental.",Information / orientation,KEEP,"Already clear, useful and natural enough",KEEP,"Consulta disponibilidad para dolor, inflamación, fractura o emergencia dental.",no,no,
sitewide/shared,whatsappMessage,src/data/serviceCatalog.ts:273,"Hola, tengo una urgencia odontológica y estoy en Carepa o cerca. ¿Me pueden ayudar con disponibilidad?",Prefilled WhatsApp message,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,"Hola, tengo una urgencia odontológica. ¿Tienen disponibilidad para atenderme?",no,no,
/servicios/*,title,src/data/servicePages.ts:52,Limpieza dental en Carepa | Profilaxis y cuidado preventivo,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Limpieza dental en Carepa | Profilaxis y cuidado preventivo,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:54,"Agenda por WhatsApp una valoración para limpieza dental en Carepa, Antioquia. Cuidado preventivo, orientación clara y recomendaciones según tu caso.",Search snippet,REWRITE,Overexplained or difficult to scan,REWRITE,"Consulta por limpieza dental en Carepa, Antioquia. Agenda una valoración por WhatsApp y recibe indicaciones según tu salud oral.",yes,no,
/servicios/*,intro,src/data/servicePages.ts:57,"La limpieza dental ayuda a mantener una buena higiene oral y permite revisar el estado de encías, dientes y hábitos de cuidado. En Carepa, puedes agendar una valoración para recibir orientación profesional antes de decidir el siguiente paso.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,"La limpieza dental ayuda a remover placa y manchas superficiales. Antes de realizarla, revisamos el estado de dientes y encías.",yes,no,
/servicios/*,question,src/data/servicePages.ts:75,¿Cada cuánto se recomienda una limpieza dental?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Cada cuánto se recomienda una limpieza dental?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:77,"Depende de tus hábitos, antecedentes y salud de encías. La frecuencia debe definirse en valoración profesional.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"Depende de tus hábitos, antecedentes y salud de encías. La frecuencia debe definirse en valoración profesional.",yes,no,
/servicios/*,question,src/data/servicePages.ts:80,¿La limpieza dental reemplaza una valoración?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿La limpieza dental reemplaza una valoración?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:82,No. La valoración permite revisar el estado oral y confirmar qué tipo de limpieza o cuidado necesitas.,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,No. La valoración permite revisar el estado oral y confirmar qué tipo de limpieza o cuidado necesitas.,yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:86,"Hola, estoy en Carepa y quiero consultar por limpieza dental. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre limpieza dental. ¿Tienen disponibilidad para una valoración?",yes,no,
/servicios/*,title,src/data/servicePages.ts:92,Blanqueamiento dental en Carepa | Valoración estética responsable,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Blanqueamiento dental en Carepa | Valoración estética responsable,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:94,"Consulta por blanqueamiento dental en Carepa. Valoración estética responsable para revisar sensibilidad, expectativas y opciones según tu salud oral.",Search snippet,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Consulta por blanqueamiento dental en Carepa. Revisa sensibilidad, tono y opciones según tu salud oral antes de iniciar.",yes,no,
/servicios/*,intro,src/data/servicePages.ts:97,"El blanqueamiento dental puede ayudar a aclarar el tono de los dientes, pero debe valorarse según sensibilidad, restauraciones existentes y estado general de la boca. La orientación profesional evita expectativas poco realistas.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,"El blanqueamiento puede aclarar el tono de los dientes. Antes de iniciarlo, hay que revisar sensibilidad, restauraciones y salud oral.",yes,no,
/servicios/*,question,src/data/servicePages.ts:115,¿El blanqueamiento sirve para todos los casos?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿El blanqueamiento sirve para todos los casos?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:117,"No siempre. Depende del origen del color, restauraciones, sensibilidad y salud oral.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"No siempre. Depende del origen del color, restauraciones, sensibilidad y salud oral.",yes,no,
/servicios/*,question,src/data/servicePages.ts:120,¿Puede generar sensibilidad?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Puede generar sensibilidad?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:122,Puede presentarse sensibilidad en algunos casos. Por eso conviene revisar antecedentes antes de iniciar.,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,Puede presentarse sensibilidad en algunos casos. Por eso conviene revisar antecedentes antes de iniciar.,yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:126,"Hola, estoy en Carepa y quiero consultar por blanqueamiento dental. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre blanqueamiento dental. ¿Tienen disponibilidad para una valoración?",yes,no,
/servicios/*,title,src/data/servicePages.ts:132,Resinas estéticas en Carepa | Restauraciones dentales,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Resinas estéticas en Carepa | Restauraciones dentales,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:134,"Consulta por resinas estéticas en Carepa. Valoración para revisar forma, color, función y alternativas restaurativas según diagnóstico.",Search snippet,SEO-KEEP,Clear search intent and local relevance,KEEP,"Consulta por resinas estéticas en Carepa. Valoración para revisar forma, color, función y alternativas restaurativas según diagnóstico.",yes,no,
/servicios/*,intro,src/data/servicePages.ts:137,"Las resinas estéticas pueden ayudar a restaurar dientes con desgaste, fracturas pequeñas o cambios de forma, siempre que el diagnóstico indique que son una opción adecuada.",Information / orientation,SHORTEN,Long for its interface context,SHORTEN,"Las resinas estéticas pueden ayudar a restaurar dientes con desgaste, fracturas pequeñas o cambios de forma, siempre que el diagnóstico indique que son una opción adecuada.",yes,no,
/servicios/*,question,src/data/servicePages.ts:155,¿Las resinas duran para siempre?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Las resinas duran para siempre?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:157,"No. Su duración depende de hábitos, mordida, higiene y cuidados. Deben controlarse periódicamente.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"No. Su duración depende de hábitos, mordida, higiene y cuidados. Deben controlarse periódicamente.",yes,no,
/servicios/*,question,src/data/servicePages.ts:160,¿Una resina sirve para cualquier fractura?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Una resina sirve para cualquier fractura?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:162,"No necesariamente. Algunas fracturas requieren otro manejo, por eso se debe valorar el caso.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"No necesariamente. Algunas fracturas requieren otro manejo, por eso se debe valorar el caso.",yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:166,"Hola, estoy en Carepa y quiero consultar por resinas estéticas. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre resinas estéticas. ¿Tienen disponibilidad para una valoración?",yes,no,
/servicios/*,title,src/data/servicePages.ts:172,Diseño de sonrisa en Carepa | Valoración estética dental,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Diseño de sonrisa en Carepa | Valoración estética dental,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:174,"Consulta por diseño de sonrisa en Carepa. Valoración estética responsable para revisar opciones reales según salud oral, forma dental y expectativas.",Search snippet,REWRITE,Overexplained or difficult to scan,REWRITE,"Consulta por diseño de sonrisa en Carepa. Revisa opciones según tu salud oral, la forma de los dientes y lo que quieres cambiar.",yes,no,
/servicios/*,intro,src/data/servicePages.ts:177,"El diseño de sonrisa debe iniciar con una valoración responsable. Antes de hablar de materiales o cambios estéticos, conviene revisar salud oral, encías, mordida, color y expectativas.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Antes de planear un diseño de sonrisa, revisamos la salud oral, las encías, la mordida y los cambios que te gustaría hacer.",yes,no,
/servicios/*,question,src/data/servicePages.ts:195,¿El diseño de sonrisa es igual para todos?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿El diseño de sonrisa es igual para todos?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:197,"No. Cada plan depende de la salud oral, forma dental, mordida, presupuesto y expectativas.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"No. Cada plan depende de la salud oral, forma dental, mordida, presupuesto y expectativas.",yes,no,
/servicios/*,question,src/data/servicePages.ts:200,¿Puedo preguntar antes de agendar?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Puedo preguntar antes de agendar?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:202,Sí. Puedes escribir por WhatsApp para recibir orientación inicial y saber si conviene una valoración.,Patient FAQ,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Sí. Puedes escribir por WhatsApp y preguntar si conviene agendar una valoración.,yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:206,"Hola, estoy en Carepa y quiero consultar por diseño de sonrisa. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre diseño de sonrisa. ¿Tienen disponibilidad para una valoración?",yes,no,
/servicios/*,title,src/data/servicePages.ts:212,Ortodoncia en Carepa | Valoración de alineación y mordida,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Ortodoncia en Carepa | Valoración de alineación y mordida,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:214,"Consulta por ortodoncia en Carepa. Agenda valoración para revisar alineación dental, mordida y alternativas según diagnóstico profesional.",Search snippet,SEO-KEEP,Clear search intent and local relevance,KEEP,"Consulta por ortodoncia en Carepa. Agenda valoración para revisar alineación dental, mordida y alternativas según diagnóstico profesional.",yes,no,
/servicios/*,intro,src/data/servicePages.ts:217,"La ortodoncia busca revisar alineación dental y mordida. Antes de iniciar, es importante una valoración que permita entender el caso y definir si hay condiciones previas por tratar.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,"La ortodoncia corrige la alineación de los dientes y la mordida. Antes de iniciar, revisamos el caso y si hay algo que deba tratarse primero.",yes,no,
/servicios/*,question,src/data/servicePages.ts:235,¿Necesito exámenes antes de iniciar ortodoncia?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Necesito exámenes antes de iniciar ortodoncia?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:237,Puede ser necesario según el caso. La valoración define qué información adicional se requiere.,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,Puede ser necesario según el caso. La valoración define qué información adicional se requiere.,yes,no,
/servicios/*,question,src/data/servicePages.ts:240,¿Todos los casos toman el mismo tiempo?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Todos los casos toman el mismo tiempo?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:242,"No. Los tiempos dependen de diagnóstico, objetivos, respuesta biológica y controles.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"No. Los tiempos dependen de diagnóstico, objetivos, respuesta biológica y controles.",yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:246,"Hola, estoy en Carepa y quiero consultar por ortodoncia. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre ortodoncia. ¿Tienen disponibilidad para una valoración?",yes,no,
/servicios/*,title,src/data/servicePages.ts:252,Prótesis dentales en Carepa | Recuperar función y comodidad,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Prótesis dentales en Carepa | Recuperar función y comodidad,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:254,"Consulta por prótesis dentales en Carepa. Valoración para revisar alternativas orientadas a recuperar piezas, función masticatoria y comodidad.",Search snippet,REWRITE,Overexplained or difficult to scan,REWRITE,Consulta por prótesis dentales en Carepa. Conoce alternativas para reemplazar piezas y recuperar la función al masticar.,yes,no,
/servicios/*,intro,src/data/servicePages.ts:257,Las prótesis dentales pueden ser una alternativa para recuperar piezas ausentes y mejorar función masticatoria. La opción adecuada depende de la valoración clínica y de las condiciones de cada paciente.,Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,Las prótesis dentales sirven para reemplazar piezas ausentes y recuperar la función al masticar. La opción depende de la boca y las necesidades de cada persona.,yes,no,
/servicios/*,question,src/data/servicePages.ts:275,¿Qué tipo de prótesis necesito?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Qué tipo de prótesis necesito?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:277,"Depende de piezas ausentes, encías, mordida y expectativas. Debe definirse en valoración.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"Depende de piezas ausentes, encías, mordida y expectativas. Debe definirse en valoración.",yes,no,
/servicios/*,question,src/data/servicePages.ts:280,¿Puedo consultar si mi prótesis actual molesta?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Puedo consultar si mi prótesis actual molesta?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:282,Sí. Puedes escribir por WhatsApp y explicar qué incomodidad tienes para revisar disponibilidad.,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,Sí. Puedes escribir por WhatsApp y explicar qué incomodidad tienes para revisar disponibilidad.,yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:286,"Hola, estoy en Carepa y quiero consultar por prótesis dentales. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre prótesis dentales. ¿Tienen disponibilidad para una valoración?",yes,no,
/servicios/*,title,src/data/servicePages.ts:291,Caso de rehabilitación con prótesis dental,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Caso de rehabilitación con prótesis dental,yes,no,
/servicios/*,alt,src/data/servicePages.ts:294,Paciente antes de la rehabilitación con prótesis dental superior,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,Paciente antes de la rehabilitación con prótesis dental superior,yes,no,
/servicios/*,alt,src/data/servicePages.ts:298,El mismo paciente después de la rehabilitación con prótesis dental superior,Describe image for accessibility,KEEP,"Already clear, useful and natural enough",KEEP,El mismo paciente después de la rehabilitación con prótesis dental superior,yes,no,
/servicios/*,title,src/data/servicePages.ts:307,Endodoncia en Carepa | Valoración por dolor dental,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Endodoncia en Carepa | Valoración por dolor dental,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:309,"Consulta por endodoncia en Carepa. Agenda valoración para revisar dolor, sensibilidad o molestias dentales y recibir orientación profesional.",Search snippet,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Consulta por endodoncia en Carepa. Agenda una valoración para revisar dolor, sensibilidad o molestias en un diente.",yes,no,
/servicios/*,intro,src/data/servicePages.ts:312,"La endodoncia puede considerarse cuando hay dolor, sensibilidad persistente o señales de compromiso interno del diente. La valoración permite revisar el caso y definir si este manejo corresponde.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,La endodoncia puede ser necesaria cuando hay dolor o sensibilidad persistente. Primero hay que revisar si la molestia viene del interior del diente.,yes,no,
/servicios/*,question,src/data/servicePages.ts:330,¿Todo dolor dental requiere endodoncia?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Todo dolor dental requiere endodoncia?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:332,"No. El dolor puede tener diferentes causas. La valoración define si se requiere endodoncia, restauración, manejo periodontal u otro tratamiento.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"No. El dolor puede tener diferentes causas. La valoración define si se requiere endodoncia, restauración, manejo periodontal u otro tratamiento.",yes,no,
/servicios/*,question,src/data/servicePages.ts:335,¿Puedo consultar primero por WhatsApp?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Puedo consultar primero por WhatsApp?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:337,Sí. Puedes explicar tus síntomas para revisar disponibilidad y saber cómo iniciar la valoración.,Patient FAQ,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Sí. Describe los síntomas para consultar disponibilidad y saber cómo empezar.,yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:341,"Hola, estoy en Carepa y quiero consultar por endodoncia. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre endodoncia. ¿Tienen disponibilidad para una valoración?",yes,no,
/servicios/*,title,src/data/servicePages.ts:347,Implantología en Carepa | Valoración para implantes dentales,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Implantología en Carepa | Valoración para implantes dentales,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:349,"Consulta por implantología en Carepa. Valoración para revisar piezas ausentes, alternativas de rehabilitación oral y pasos según diagnóstico.",Search snippet,SEO-KEEP,Clear search intent and local relevance,KEEP,"Consulta por implantología en Carepa. Valoración para revisar piezas ausentes, alternativas de rehabilitación oral y pasos según diagnóstico.",yes,no,
/servicios/*,intro,src/data/servicePages.ts:352,"La implantología es una alternativa de rehabilitación oral que debe planearse con valoración profesional. Antes de decidir, se revisan condiciones orales, necesidades funcionales y opciones posibles.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Los implantes dentales pueden reemplazar piezas ausentes. Antes de decidir, revisamos la salud oral y las alternativas de rehabilitación.",yes,no,
/servicios/*,question,src/data/servicePages.ts:370,¿Los implantes son para todos los pacientes?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Los implantes son para todos los pacientes?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:372,"No siempre. La indicación depende de salud oral, hueso, hábitos, antecedentes y diagnóstico profesional.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"No siempre. La indicación depende de salud oral, hueso, hábitos, antecedentes y diagnóstico profesional.",yes,no,
/servicios/*,question,src/data/servicePages.ts:375,¿La valoración define el tratamiento exacto?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿La valoración define el tratamiento exacto?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:377,La valoración inicial orienta el caso y puede indicar si se requieren estudios adicionales antes de definir un plan.,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,La valoración inicial orienta el caso y puede indicar si se requieren estudios adicionales antes de definir un plan.,yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:381,"Hola, estoy en Carepa y quiero consultar por implantología. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre implantes dentales. ¿Tienen disponibilidad para una valoración?",yes,no,
/servicios/*,title,src/data/servicePages.ts:387,Armonización orofacial en Carepa | Valoración estética responsable,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Armonización orofacial en Carepa | Valoración estética responsable,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:389,"Consulta por armonización orofacial en Carepa. Orientación estética responsable con valoración previa, expectativas claras y disponibilidad por WhatsApp.",Search snippet,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Consulta por armonización orofacial en Carepa. Revisa indicaciones, alternativas y disponibilidad por WhatsApp.",yes,no,
/servicios/*,intro,src/data/servicePages.ts:392,"La armonización orofacial requiere valoración individual, explicación clara de expectativas y criterio profesional. La consulta ayuda a revisar si el procedimiento que tienes en mente es adecuado para tu caso.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,La armonización orofacial reúne procedimientos estéticos para el rostro. En consulta revisamos si la opción que tienes en mente corresponde a tu caso.,yes,no,
/servicios/*,question,src/data/servicePages.ts:410,¿Se pueden prometer resultados exactos?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Se pueden prometer resultados exactos?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:412,No. Cada caso responde de forma diferente. La valoración permite explicar posibilidades y límites de manera responsable.,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,No. Cada caso responde de forma diferente. La valoración permite explicar posibilidades y límites de manera responsable.,yes,no,
/servicios/*,question,src/data/servicePages.ts:415,¿Puedo consultar por varios procedimientos?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Puedo consultar por varios procedimientos?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:417,Sí. Puedes escribir qué opciones te interesan para recibir orientación inicial y revisar disponibilidad.,Patient FAQ,SHORTEN,"Stiff, repetitive or less natural than needed",SHORTEN,Sí. Escribe qué opciones te interesan y consulta disponibilidad.,yes,no,
/servicios/*,whatsappMessage,src/data/servicePages.ts:421,"Hola, estoy en Carepa y quiero consultar por armonización orofacial. ¿Me pueden orientar con disponibilidad para una valoración?",Prefilled WhatsApp message,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Hola, quisiera información sobre armonización orofacial. ¿Tienen disponibilidad para una valoración?",yes,no,
/servicios/*,title,src/data/servicePages.ts:427,Extracción de cordales en Carepa | Valoración de terceros molares,Heading / scanning,KEEP,"Already clear, useful and natural enough",KEEP,Extracción de cordales en Carepa | Valoración de terceros molares,yes,no,
/servicios/*,metaDescription,src/data/servicePages.ts:429,"Consulta por extracción de cordales en Carepa. Valoración para revisar dolor, inflamación, posición de terceros molares y disponibilidad.",Search snippet,SEO-KEEP,Clear search intent and local relevance,KEEP,"Consulta por extracción de cordales en Carepa. Valoración para revisar dolor, inflamación, posición de terceros molares y disponibilidad.",yes,no,
/servicios/*,intro,src/data/servicePages.ts:432,"Las cordales pueden generar dolor, inflamación o molestias, pero no todos los casos requieren extracción. La valoración ayuda a revisar síntomas, posición y siguiente paso responsable.",Information / orientation,SHORTEN,Overexplained or difficult to scan,SHORTEN,"Las cordales pueden causar dolor o inflamación, pero no siempre hay que extraerlas. Primero revisamos los síntomas y la posición de los dientes.",yes,no,
/servicios/*,question,src/data/servicePages.ts:450,¿Todas las cordales deben extraerse?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Todas las cordales deben extraerse?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:452,"No. La decisión depende de síntomas, posición, salud oral y diagnóstico profesional.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"No. La decisión depende de síntomas, posición, salud oral y diagnóstico profesional.",yes,no,
/servicios/*,question,src/data/servicePages.ts:455,¿Qué debo contar por WhatsApp?,Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,¿Qué debo contar por WhatsApp?,yes,no,
/servicios/*,answer,src/data/servicePages.ts:457,"Indica si hay dolor, inflamación, fiebre, dificultad para abrir la boca o cuánto tiempo llevas con la molestia.",Patient FAQ,KEEP,"Already clear, useful and natural enough",KEEP,"Indica si hay dolor, inflamación, fiebre, dificultad para abrir la boca o cuánto tiempo llevas con la molestia.",yes,no,
